Kabupaten_Kota,Sektor_1,Sektor_2,Sektor_3,Sektor_4,Sektor_5,Sektor_6,Sektor_7,Sektor_8,Sektor_9,Sektor_10,Sektor_11,Sektor_12,Sektor_13,Sektor_14,Sektor_15,Sektor_16,Sektor_17,Sektor_18,Sektor_19,Sektor_20
Banggai Laut,257.72,259.31,269.34,272.87,1059.25,22.53,22.48,21.46,23.84,90.3,174.31,184.88,180.82,187.81,727.81,454.56,466.67,471.62,484.51,1877.36
Morowali Utara,2309.12,2346.8,2582.17,2531.97,9770.06,1228.98,1372.78,1472.87,1486.42,5561.05,398.05,444.28,443.86,455.92,1742.11,3936.15,4163.86,4498.9,4474.31,17073.22
Kota Palu,495.44,519.46,555.47,564.89,2135.26,1047.95,1060.45,1042.53,1113.17,4264.1,2884.28,3159.19,3053.41,3272.52,12369.39,4427.67,4739.1,4651.4,4950.57,18768.75
Kepulauan Selayar,406.91,451.19,485.38,357.49,1700.97,199.59,235.74,235.08,248.53,918.94,354.24,409.15,395.61,403.42,1562.42,960.74,1096.07,1116.07,1009.45,4182.33
Bulukumba,828.55,1006.82,1068.02,863.56,3766.95,383.02,407.66,461.99,499.02,1751.68,1069.49,1163.89,1209.9,1227.9,4671.18,2281.06,2578.37,2739.91,2590.48,10189.82
Bantaeng,451.48,503.51,512.39,488.16,1955.53,621.04,600.3,647.65,725.88,2594.87,768.93,795.3,824.86,883.99,3273.08,1841.45,1899.11,1984.9,2098.02,7823.49
Jeneponto,632.24,1085.12,897.15,464.94,3079.45,269.55,295.59,321.22,329.75,1216.1,763.71,902.67,1007.42,947.35,3621.15,1665.5,2283.37,2225.79,1742.03,7916.7
Takalar,910.2,958.46,981.55,947.97,3798.18,221.87,230.74,255.44,264.55,972.61,723.51,762.83,785.82,789.73,3061.89,1855.58,1952.04,2022.81,2002.25,7832.68
Gowa,1139.72,1436,1404.12,1277.31,5257.15,724.03,749.69,755.2,774.39,3003.31,2183.93,2317.16,2384.44,2401.02,9286.54,4047.67,4502.85,4543.76,4452.72,17547
Sinjai,910.43,1021.11,1101.45,827.83,3860.81,268.93,280.7,315.22,336.49,1201.33,882.54,964.02,978.52,946.31,3771.39,2061.9,2265.82,2395.19,2110.62,8833.54
Maros,1049.19,1141.23,1196.71,1029.36,4416.49,906.58,859.89,1027.33,1167.72,3961.52,1479.88,1637.62,1625.2,1628.05,6370.75,3435.65,3638.74,3849.24,3825.13,14748.76
Pangkajene dan Kepulauan,1346.34,1408.08,1408.17,1264.24,5426.83,2530.17,2448.27,2578.57,2808.9,10365.92,1033.03,1106.37,1109.46,1155.98,4404.84,4909.55,4962.72,5096.2,5229.12,20197.59
Barru,489.66,574.66,558.5,466.06,2088.88,272.7,286.56,327.61,357.72,1244.61,573.94,622.37,631.4,626.35,2454.05,1336.3,1483.6,1517.5,1450.13,5787.54
Bone,3166.59,3708.12,3798.75,2638.16,13311.63,1045.88,1092.99,1178.03,1245.59,4562.5,2094.18,2239.43,2305.77,2311.87,8951.24,6306.65,7040.54,7282.55,6195.63,26825.37
Soppeng,517.29,620.29,716.51,530.12,2384.22,465.88,513.41,597,563.26,2139.55,969.96,1031.6,1046.26,1089.07,4136.9,1953.13,2165.3,2359.78,2182.46,8660.66
Wajo,1504.6,1564.55,1817.21,1641.99,6528.35,423.43,483.54,460.96,487.93,1855.86,1495.23,1540.67,1626.89,1680.13,6342.91,3423.26,3588.76,3905.06,3810.05,14727.12
Sidenreng Rappang,702.69,835.13,912.17,748.48,3198.47,713.82,720.4,755.95,805.8,2995.97,855.18,999.09,978.45,963.12,3795.85,2271.7,2554.62,2646.57,2517.4,9990.29
Pinrang,1327.61,1984.93,1566.47,1812.07,6691.09,519.05,618.32,627.76,711.55,2476.68,1452.73,1529.28,1516.96,1543.47,6042.44,3299.4,4132.53,3711.19,4067.09,15210.21
Enrekang,508.27,601.57,602.15,514.67,2226.66,288.42,299.85,313.24,296.6,1198.11,461.22,507.28,494.47,530.97,1993.93,1257.91,1408.7,1409.86,1342.23,5418.7
Luwu,1440.61,1528.17,1640.01,1161.6,5770.39,390.25,403.35,442.52,476.44,1712.56,1108.3,1214.66,1215.32,1155.26,4693.54,2939.16,3146.19,3297.84,2793.3,12176.49
Tana Toraja,249.35,277.35,343.43,306.02,1176.15,237.23,242.53,263.42,285.65,1028.82,750.61,788.82,842.04,893.98,3275.46,1237.19,1308.7,1448.89,1485.65,5480.43
Luwu Utara,1081.78,1222.32,1282.92,989.75,4576.77,353.74,386.37,412.08,385.49,1537.68,831.95,903,934.72,948.32,3617.99,2267.48,2511.69,2629.71,2323.57,9732.44
Luwu Timur,3130.1,3152.27,3346.77,3323.4,12952.55,504.26,589.83,608.76,738.34,2441.18,697.76,813.93,801.1,808.01,3120.8,4332.12,4556.03,4756.64,4869.75,18514.53
Toraja Utara,209.58,242.63,274.32,250.54,977.06,291.52,310.63,313.63,318.51,1234.29,917.97,980.06,1008.18,1006.78,3912.99,1419.06,1533.32,1596.13,1575.83,6124.34
Kota Makasar,136.04,149.07,149.75,129.3,564.16,11432.24,12107.32,12747.12,13145.38,49432.07,23054.66,24657.17,24998.89,25282.25,97992.97,34622.94,36913.56,37895.77,38556.93,147989.2
Kota Parepare,92.37,98.38,96.58,79.32,366.65,207.83,220.07,252.17,270.35,950.42,1056.07,1164.4,1197.14,1235.09,4652.7,1356.27,1482.85,1545.89,1584.76,5969.77
Kota Palopo,217.12,253.34,259.95,227.82,958.22,234.36,250.25,306.51,345.94,1137.07,1072.3,1146.59,1155.84,1180.05,4554.78,1523.78,1650.19,1722.29,1753.81,6650.07
Buton,451.18,429.51,430.05,449.36,1760.1,58.45,62.71,73.02,82.94,277.12,262.26,289.45,300.27,311.72,1163.7,771.89,781.66,803.35,844.01,3200.92
Muna,547.1,526.52,509.02,553.08,2135.72,195.25,224.04,236.67,272.2,928.16,677.52,718.3,741.57,737.46,2874.86,1419.87,1468.86,1487.27,1562.74,5938.74
Konawe,651.68,680.14,671.15,734.62,2737.59,1709.67,1627.09,1790.66,2026.63,7154.05,637.38,674.44,676.73,693.66,2682.22,2998.74,2981.67,3138.54,3454.91,12573.86
Kolaka,3175.98,3379.92,3557.61,3597.43,13710.94,706.37,746.49,823.84,923,3199.7,1058.52,1144.24,1154.46,1184.63,4541.85,4940.87,5270.65,5535.91,5705.05,21452.48
Konawe Selatan,1255.81,1219.6,1262.61,1342.98,5081,249.06,262.93,320.18,376.2,1208.37,899.84,977.27,989.11,1016.72,3882.94,2404.71,2459.79,2571.9,2735.9,10172.3
Bombana,733.05,777.51,861.82,905.75,3278.13,184.49,173.16,200.23,230.89,788.76,367.49,389.51,388.68,397.16,1542.84,1285.03,1340.18,1450.73,1533.79,5609.73
Wakatobi,385.18,363.21,375.64,375.36,1499.39,158.61,165.17,202.84,215.19,741.81,339.23,369.06,365,377.6,1450.88,883.02,897.43,943.48,968.14,3692.07
Kolaka Utara,1056.83,1087.8,1117.44,1070.26,4332.34,242.11,263.97,309.67,336.91,1152.67,449.9,460.11,458.42,467,1835.43,1748.84,1811.87,1885.54,1874.18,7320.44
Buton Utara,292.51,286.5,283.07,296.85,1158.93,105.71,107.19,131.38,145.28,489.55,229.73,243.54,244.56,246.98,964.8,627.95,637.23,659.01,689.1,2613.28
Konawe Utara,511.04,510.06,515.29,578.4,2114.8,97.88,116.04,127.22,145.73,486.86,202.1,213.61,214.3,219.6,849.61,811.02,839.71,856.81,943.73,3451.27
Kolaka Timur,456.92,465.83,459.95,478.16,1860.87,110.83,114.24,139.01,143.85,507.93,327.42,351.59,348.45,357.48,1384.94,895.17,931.66,947.42,979.49,3753.74
Konawe Kepulauan,200.49,207.56,203,184.35,795.4,21.72,20.75,23.69,28.31,94.47,76.58,85.13,82.68,83.69,328.09,298.8,313.44,309.38,296.35,1217.96
Muna Barat,250.95,273.14,273.16,262.78,1060.03,99.43,102.96,114.07,145.38,461.84,153.78,160.39,164.31,176.51,654.98,504.15,536.49,551.55,584.67,2176.86
Buton Tengah,199.87,224.18,221.38,226.55,871.97,83.24,85.39,100.99,110.47,380.1,168.37,175.84,178.85,180.13,703.19,451.48,485.41,501.22,517.15,1955.26
Buton Selatan,322.88,322.7,332.49,361.44,1339.5,89.76,93.12,107.34,108.18,398.41,139.4,146.96,147.42,148.99,582.76,552.04,562.78,587.24,618.6,2320.67
Kota Kendari,691.99,607.58,618.06,681.96,2599.58,982.45,1019.65,1183.48,1281.63,4467.21,2965.42,3109.98,3151.82,3205.4,12432.62,4639.86,4737.21,4953.36,5168.98,19499.41
