Kabupaten_Kota,Sektor_1,Sektor_2,Sektor_3,Sektor_4,Sektor_5,Sektor_6,Sektor_7,Sektor_8,Sektor_9,Sektor_10,Sektor_11,Sektor_12,Sektor_13,Sektor_14,Sektor_15,Sektor_16,Sektor_17,Sektor_18,Sektor_19,Sektor_20
Simeulue,162.51,164.53,168.16,190.54,685.73,46.43,46.26,52.78,57.46,202.93,230.12,254.47,254.45,258.91,997.95,439.06,465.25,475.39,506.91,1886.61
Aceh Singkil,137.28,139.34,142.47,149.08,568.17,66.43,70.61,75.14,81.41,293.58,267.69,279.18,285.16,281.97,1114,471.4,489.13,502.77,512.46,1975.75
Aceh Selatan,352.93,363.26,326.93,347.66,1390.78,208.69,214.78,232.23,235.57,891.27,583.74,641.4,646,635.1,2506.24,1145.36,1219.44,1205.17,1218.32,4788.29
Aceh Tenggara,372.29,405.94,342.46,448.05,1568.74,69.91,73.63,80.44,83.77,307.74,466.68,488.34,493.68,500.81,1949.51,908.88,967.9,916.58,1032.64,3825.99
Aceh Timur,1109.86,1073.8,1073.34,1208.4,4465.4,236.25,245.85,266.96,270.36,1019.42,907.56,967.62,983.19,1001.65,3860.01,2253.66,2287.27,2323.48,2480.42,9344.83
Aceh Tengah,706.79,659.46,690.51,820.25,2877.02,258.08,256.3,273.17,274.14,1061.7,729.2,739.58,771.54,752.22,2992.54,1694.06,1655.34,1735.23,1846.62,6931.25
Aceh Barat,975.87,1170.04,1140.77,1208.4,4495.08,209.24,203.8,256.28,291.85,961.18,810.93,778.12,793.93,825.69,3208.67,1996.03,2151.97,2190.98,2325.94,8664.92
Aceh Besar,822.92,693.39,689.82,781.67,2987.79,554.42,586.5,623.53,672.75,2437.2,1507.82,1577.02,1592,1573.35,6250.2,2885.17,2856.91,2905.35,3027.77,11675.2
Pidie,938.56,879.35,886.17,1028.22,3732.3,215.2,226.44,226.63,252.67,920.93,1024.16,1093.22,1098.93,1107.66,4323.97,2177.92,2199.02,2211.72,2388.55,8977.21
Bireuen,889.89,943.72,828.86,1007.69,3670.16,287.85,295.8,300.46,341.64,1225.75,1658.13,1743.68,1755.4,1753.38,6910.58,2835.87,2983.2,2884.71,3102.71,11806.49
Aceh Utara,2507.89,2273.95,2370.38,2599,9751.22,555.83,619.44,612.31,659,2446.58,1494.46,1608.74,1559.7,1585.09,6247.99,4558.18,4502.14,4542.38,4843.09,18445.79
Aceh Barat Daya,261.62,249.88,255.46,241.28,1008.24,130.79,145.82,148.94,154.33,579.88,435.79,470.79,477.14,482.55,1866.28,828.21,866.49,881.54,878.16,3454.39
Gayo Lues,208.96,209.25,200.78,243.71,862.7,95.51,101.62,106.37,109.25,412.75,214.6,231.79,239.77,241.13,927.29,519.06,542.66,546.92,594.09,2202.73
Aceh Tamiang,928.92,857.9,804.84,899.51,3491.17,201.11,186.24,198.29,241.98,827.63,556.49,588.66,597.76,612.67,2355.58,1686.53,1632.8,1600.89,1754.16,6674.38
Nagan Raya,1218.14,1227.38,1224.96,1340.11,5010.59,206.36,211.51,241.56,257.92,917.35,515.2,550.94,559.47,542.06,2167.68,1939.7,1989.83,2025.99,2140.1,8095.62
Aceh Jaya,179,175.01,184.77,208.01,746.78,99.56,112.29,120.27,126.74,458.86,252.59,277.92,268.16,275.84,1074.51,531.14,565.22,573.2,610.59,2280.16
Bener Meriah,516.68,480.49,526.78,641.43,2165.39,179.06,180.64,183.55,180.97,724.22,324.92,336.35,342.83,325.29,1329.39,1020.66,997.47,1053.16,1147.7,4218.99
Pidie Jaya,335.32,327.94,315.52,370.05,1348.84,68.96,71.5,76.73,82.3,299.5,309.61,331.49,345.27,339.85,1326.23,713.9,730.93,737.52,792.2,2974.56
Kota Banda Aceh,53.96,53.4,73.86,91.27,272.48,360.33,359.22,411.02,449.07,1579.64,3833.82,4007.15,4190.31,4234.4,16265.67,4248.1,4419.76,4675.18,4774.73,18117.78
Kota Sabang,23.29,24.08,24.62,26.55,98.54,90.33,94.46,104.54,111.28,400.62,185.73,192.11,192.24,198.99,769.07,299.35,310.65,321.4,336.82,1268.22
Kota Langsa,89.89,91.32,87.07,107.01,375.3,180.73,181.92,186.14,210.47,759.25,824.61,850.18,843.43,866.07,3384.3,1095.24,1123.42,1116.64,1183.56,4518.85
Kota Lhokseumawe,157.61,171.73,170.98,177.55,677.87,601.38,604.38,621.61,651.19,2478.54,1222.36,1261.93,1264.72,1306.01,5055.02,1981.35,2038.04,2057.31,2134.74,8211.43
Kota Subulussalam,97.45,98.93,98.62,105.32,400.32,109.52,117.43,126.67,132.39,486.02,177.96,185.16,186.39,187.41,736.91,384.93,401.52,411.68,425.12,1623.25
Nias,442.41,438.56,444.79,451.07,1776.83,73.89,76.11,79.25,82.76,312.01,208.96,216.14,220.68,229.72,875.5,725.27,730.81,744.72,763.55,2964.34
Mandailing Natal,1348.89,1380.49,1414.22,1403.73,5547.33,561.78,583.82,604.37,621.53,2371.5,741.39,775.98,770.47,794.96,3082.79,2652.05,2740.29,2789.05,2820.22,11001.61
Tapanuli Selatan,1613.6,1656.14,1685.17,1688.95,6643.86,472.97,484.08,496.46,513.02,1966.53,718.4,758.5,761.64,771.39,3009.94,2804.97,2898.72,2943.28,2973.36,11620.33
Tapanuli Tengah,959.03,973.95,978.14,997.65,3908.77,419,431.49,444.99,453.02,1748.5,576.39,607.54,609.71,633.49,2427.14,1954.43,2012.98,2032.84,2084.16,8084.42
Tapanuli Utara,773.3,788.5,778.76,787.32,3127.89,262.11,266.9,276.33,281.56,1086.9,652.61,676.69,674.8,712.35,2716.46,1688.03,1732.09,1729.89,1781.23,6931.24
Toba Samosir,495.59,499.5,507.2,501.7,2003.98,391.57,401.67,418.59,440.84,1652.67,686.38,696.35,705.7,733.04,2821.48,1573.54,1597.52,1631.48,1675.58,6478.13
Labuhan Batu,2154.6,2216.07,2274.31,2275.94,8920.92,2545.93,2629.63,2723.08,2757.38,10656.01,2001.74,2089.08,2111.51,2145.61,8347.93,6702.27,6934.78,7108.9,7178.92,27924.86
Asahan,3382.47,3542.69,3697.62,3583.4,14206.19,1877.15,1945.93,2011.88,1997.43,7832.4,2259.9,2335.66,2336.53,2370.62,9302.71,7519.53,7824.28,8046.03,7951.46,31341.3
Simalungun,4752.78,4861.23,4984.47,4967.74,19566.22,1343.48,1389.89,1434.54,1456.73,5624.64,1882.85,1974.95,1992.74,2010.95,7861.49,7979.1,8226.08,8411.75,8435.42,33052.35
Dairi,848.93,850.17,857.02,871.45,3427.57,235.69,239.06,247.24,254.56,976.56,774.89,807.91,812.46,831.91,3227.18,1859.52,1897.15,1916.73,1957.92,7631.31
Karo,2179.72,2222.81,2259.3,2367.36,9029.19,413.4,422.88,429.9,434.54,1700.72,1402.71,1475.61,1501.54,1531.4,5911.26,3995.82,4121.29,4190.75,4333.3,16641.17
Deli Serdang,2585.17,2634.09,2662.59,2698.65,10580.5,8862.79,9117.54,9406.05,9725.96,37112.35,8666.59,8868.39,9162.19,9478.34,36175.51,20114.55,20620.03,21230.83,21902.94,83868.36
Langkat,4499.9,4680.12,4814.35,4973.18,18967.55,1696.99,1754.87,1831.34,1903.72,7186.92,2091.68,2168,2194.23,2272.1,8726.02,8288.57,8603,8839.92,9149,34880.49
Nias Selatan,626.7,630.98,633.76,638.07,2529.52,152,154.34,159.1,162.48,627.91,402.45,411.4,413.02,422.04,1648.9,1181.15,1196.72,1205.88,1222.58,4806.33
Humbang Hasundutan,516.13,530.05,534.67,535.92,2116.77,177.8,182.91,188.06,196.09,744.85,471.96,485.19,492.97,497.13,1947.24,1165.89,1198.15,1215.69,1229.14,4808.86
Pakpak Bharat,146.15,145.31,149.16,151.85,592.47,23.35,23.52,24.58,26.8,98.25,73.89,76.83,78.72,83.79,313.24,243.39,245.66,252.46,262.44,1003.95
Samosir,457.49,468.28,461.97,469.96,1857.71,101.81,104.71,109.37,119.52,435.41,318.37,343.38,330.57,358.71,1351.03,877.67,916.38,901.91,948.19,3644.15
Serdang Bedagai,2589.64,2600.77,2625.5,2625,10440.9,1417.98,1457.23,1489.25,1523.94,5888.4,1573.58,1623.25,1664.04,1693.41,6554.28,5581.2,5681.25,5778.79,5842.34,22883.58
Batu Bara,1560,1586.7,1612.79,1583.69,6343.17,3400.63,3495.51,3549.33,3569.8,14015.27,1768.35,1810.5,1816.1,1860.77,7255.72,6728.99,6892.71,6978.22,7014.25,27614.17
Padang Lawas Utara,1101.18,1127.75,1178.36,1179.87,4587.15,708.12,733.21,765.6,796.6,3003.53,544.97,562.59,567.74,589.97,2265.27,2354.27,2423.55,2511.71,2566.43,9855.95
Padang Lawas,1235.02,1306.28,1363.63,1365.1,5270.02,630.49,671.22,718.94,739.39,2760.04,397.01,411.63,406.67,414.34,1629.65,2262.52,2389.14,2489.24,2518.83,9659.72
Labuhan Batu Selatan,1907.21,1943.23,1996.27,1984.08,7830.79,2424.67,2520.35,2611.28,2630.51,10186.82,1118.8,1145.74,1165.63,1171.79,4601.96,5450.68,5609.33,5773.19,5786.38,22619.57
Labuhan Batu Utara,2113,2166.31,2267.74,2268.15,8815.2,1534.04,1595.68,1645.95,1656.11,6431.78,1271.2,1316.33,1343.57,1349.68,5280.78,4918.25,5078.32,5257.25,5273.94,20527.76
Nias Utara,401.75,405.89,409.03,419.12,1635.8,57.94,58.39,59.57,62.11,238.01,197.76,199.52,200.8,207.02,805.11,657.46,663.8,669.41,688.25,2678.92
Nias Barat,211.98,214.48,216.47,218.32,861.25,31.54,31.92,33.06,34.67,131.19,106.65,107.41,108.58,112.03,434.68,350.17,353.8,358.11,365.02,1427.11
