topic_id_v2,negatif,netral,positif,total,pct_negatif,pct_positif,pct_netral,dominant_sentiment,topic_label,keywords_clean,bps_category,rank
75,30,4,1,35,85.7,2.9,11.4,negatif,Pajak Harga Gaji Kebutuhan,"pajak, harga, gaji, kebutuhan, pensiun, penghasilan",Upah & Kesejahteraan,76
76,29,4,2,35,82.9,5.7,11.4,negatif,Pekerjaan Pengalaman Susah Banget Pengalaman Kerja,"pekerjaan, pengalaman, susah banget, pengalaman kerja, kerja pengalaman, susah",Ketenagakerjaan,77
77,0,0,35,35,0.0,100.0,0.0,positif,Pastikan Kompeten Nkri Tenaga Kerja,"pastikan, kompeten, nkri, tenaga kerja, tenaga, menuju",Ketenagakerjaan,78
78,16,5,13,34,47.1,38.2,14.7,negatif,Kwkw Wkwkw Yes Mu,"kwkw, wkwkw, yes, mu, bersaing, cpt",Lainnya,79
79,34,0,0,34,100.0,0.0,0.0,negatif,Koruptor Didanai Dibiayai Koruptor Dibiayai,"koruptor, didanai, dibiayai koruptor, dibiayai, korupsi, indonesiagelap",Kebijakan Pemerintah,80
80,12,8,14,34,35.3,41.2,23.5,positif,Bismillah Bismillah Iya Muak Banget Iya Allah,"bismillah, bismillah iya, muak banget, iya allah, allah, tanggal",Lainnya,81
81,8,17,8,33,24.2,24.2,51.5,netral,Australia Whv Anakku Bule,"australia, whv, anakku, bule, singapura, pingin",Migrasi & Ketenagakerjaan LN,82
82,28,2,3,33,84.8,9.1,6.1,negatif,Banget Banget Sembuh Ajak Pengen,"banget banget, sembuh, ajak, pengen, banget, hatinya",Lainnya,83
83,13,12,8,33,39.4,24.2,36.4,negatif,Pelan Kira Pelan Pelan Tanggapan,"pelan, kira, pelan pelan, tanggapan, gasih, yukk",Lainnya,84
84,26,4,3,33,78.8,9.1,12.1,negatif,Cinta Cinta Negara Negara Negara Negara,"cinta, cinta negara, negara negara, negara, mikirin, rakyatnya",Lainnya,85
85,22,7,3,32,68.8,9.4,21.9,negatif,Wowo Mental Tanah Dijajah,"wowo, mental, tanah, dijajah, krisis, darurat",Lainnya,86
86,9,5,17,31,29.0,54.8,16.1,positif,Dream Mimpi Impian My Dream,"dream, mimpi, impian, my dream, my, have",Lainnya,87
87,28,0,3,31,90.3,9.7,0.0,negatif,Kucing Yaallah Kalah Yaallah Pengen,"kucing, yaallah, kalah, yaallah pengen, ajak keluarga, banget pengen",Lainnya,88
88,21,6,4,31,67.7,12.9,19.4,negatif,Kewarganegaraan Pindah Kewarganegaraan Pindah Laki,"kewarganegaraan, pindah kewarganegaraan, pindah, laki, keluar negeri, pny",Migrasi & Ketenagakerjaan LN,89
89,28,0,2,30,93.3,6.7,0.0,negatif,Duit Duit Negara Negara Uang,"duit, duit negara, negara, uang, tabungan, simpan",Upah & Kesejahteraan,90
