Topic,Count,Name,Representation,Representative_Docs
79,34,79_koruptor_didanai_dibiayai koruptor_dibiayai,"['koruptor', 'didanai', 'dibiayai koruptor', 'dibiayai', 'korupsi', 'indonesiagelap', 'ditangkap', 'terlanjur', 'tag', 'out']","['bisikin koruptor yang mbiayai dong kaburajadulu', 'kalau kaburajadulu yang ini jelas didanai oleh koruptor', 'waduh bupati pati dibela mulyono si koruptor occrp yang didanai oleh buronan koruptor edi tensil kaburajadulu']"
80,34,80_bismillah_bismillah iya_muak banget_iya allah,"['bismillah', 'bismillah iya', 'muak banget', 'iya allah', 'allah', 'tanggal', 'semoga', 'banget negara', 'muak', 'capek banget']","['bismillah iya allah tahun ini bisa kaburajadulu', 's bismillah iya allah tahun ini atau tahun depan bisa ikut kaburajadulu sudah muak banget sama ini negara', 'bismillah iya allah tahun ini atau tahun depan bisa ikut kaburajadulu sudah muak banget sama ini negara']"
81,33,81_australia_whv_anakku_bule,"['australia', 'whv', 'anakku', 'bule', 'singapura', 'pingin', 'aneh', 'engga', 'cita', 'pengen kerja']","['kerja di perkebunan di australia paling enak', 'indeed australia jo search aust', 'australia harus s di dulu gak si']"
82,33,82_banget banget_sembuh_ajak_pengen,"['banget banget', 'sembuh', 'ajak', 'pengen', 'banget', 'hatinya', 'untungnya', 'dicoba', 'menyerah', 'bermodal']","['gak boleh gendut ampe skrang saya sakit hatinya gak hilang', 'kayaknya ini gerdnya tidak sembuh sembuh karena aku wni deh obatnya harus kaburajadulu', 'pengen banget banget banget banget seumur hidupku kaburajadulu dan gak balik lagi']"
83,33,83_pelan_kira_pelan pelan_tanggapan,"['pelan', 'kira', 'pelan pelan', 'tanggapan', 'gasih', 'yukk', 'ora', 'ii', 'kejepang', 'hah']","['yuk ikutan yukk seru tahu', 'pelan saja', 'pelan pelan abang']"
84,33,84_cinta_cinta negara_negara negara_negara,"['cinta', 'cinta negara', 'negara negara', 'negara', 'mikirin', 'rakyatnya', 'tanah air', 'cinta tanah', 'tanah', 'air']","['buat apa cinta negara emang negara cinta rakyatnya', 'kita cinta negara ini tapi negara ga cinta kita ga ada feedback juga sakeet', 'kita cinta negara tapi negara ga cinta kita']"
85,32,85_wowo_mental_tanah_dijajah,"['wowo', 'mental', 'tanah', 'dijajah', 'krisis', 'darurat', 'lha', 'raja', 'haji', 'menteri negeri']","['wakil prabowo yang berjasa bawa pulang wowo dari kaburajadulu ngata in wowo yang jadi imigran ke jordan parah sih', 'mental warga israhell yang kaburajadulu cerminan warga yang memang tidak pernah cinta pada tanah airnya itu bukan tanah airnya itu tanah palestina coba menjenguk mental rakyat palestina apapun yang terjadi ini adalah tanah airnya mental kaburajadulu kalau ada masalah mental apa', 'fun fact raja jordania adalah teman karib pak haji wowo ketika dulu haji wowo kaburajadulu']"
86,31,86_dream_mimpi_impian_my dream,"['dream', 'mimpi', 'impian', 'my dream', 'my', 'have', 'negeri trus', 'semoga', 'tidur', 'is']","['my biggest dream', 'my dream since childhood', 'my dream']"
87,31,87_kucing_yaallah_kalah_yaallah pengen,"['kucing', 'yaallah', 'kalah', 'yaallah pengen', 'ajak keluarga', 'banget pengen', 'ngejek', 'ketawa', 'even', 'dibanding']","['kucing kaburajadulu', 'beruntungnya kucing itu bisa kaburajadulu', 'si kucing lagi ikut kaburajadulu']"
88,31,88_kewarganegaraan_pindah kewarganegaraan_pindah_laki,"['kewarganegaraan', 'pindah kewarganegaraan', 'pindah', 'laki', 'keluar negeri', 'pny', 'pamer', 'negeri', 'semudah', 'saudara laki']","['wishlist dari kecil saya begini pindah kewarganegaraan', 'tutor cara pindah kewarganegaraan', 'ini yang dimaksud bukan tki iya saudara laki-laki ini yang di maksud pindah kewarganegaraan']"
89,30,89_duit_duit negara_negara_uang,"['duit', 'duit negara', 'negara', 'uang', 'tabungan', 'simpan', 'susah nya', 'kumpulin', 'kaya', 'pakai duit']","['q saja yang sudah di taiwan th pengen pulang terus mikir lagi karena lihat susah nya cri duit di negara sendiri sudah gitu semua brang kebutuhan mhal lagi', 'kaburajadulu tapi pakai duit negara', 'di negara ini mana bisa punya duit']"
