Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
Tolikara,-
Sarmi,7499
Keerom,9967
Waropen,7569
Supiori,6474
Mamberamo Raya,5298
Nduga,-
Lanny Jaya,-
Mamberamo Tengah,-
Yalimo,-
Puncak,-
Dogiyai,-
Intan Jaya,-
Deiyai,-
Kota Jayapura,15408
PAPUA SELATAN,9756
Merauke,11077
Boven Digoel,8616
Mappi,7068
Asmat,6262
PAPUA TENGAH,7809
Mimika,12487
Dogiyai,6755
Deiyai,5509
Nabire,9856
Paniai,7470
Intan Jaya,6463
Puncak,6363
Puncak Jaya,6091
PAPUA PEGUNUNGAN,5707
Nduga,4597
Jayawijaya,8534
Lanny Jaya,5026
Tolikara,5653
Mamberamo Tengah,4943
Yalimo,5226
Yahukimo,5747
Pegunungan Bintang,6196
INDONESIA,12341
