created_at,full_text,id_str
20/03/2025,"inggris bisa, udah lumayan fasih, negara udah ada, UANG nya gaada",7314132498925519878
22/03/2025,cek vt terbaru,7429404045720962054
31/12/2025,#kaburajadulu🔥,6564688666349830150
14/02/2025,sebenarnya gua juga pen pindah tapi keinget sama perjuangan para pahlawan kita yg rela gugur demi kita...,7368375336125563909
16/02/2025,"firasat saya pun sudah mulai gak enak, tinggal tunggu aja... kita lihat apa yang terjadi",7398317638194136069
21/02/2025,"Olympus has fallen❌
Indonesia has fallen✔️",6878257550861681669
05/03/2025,Indonesia the worst country in the world,7034402973687284738
14/02/2025,bro kira ke luar negeri itu gampang 😹,7332005515163829269
15/02/2025,"lulus kuliah otw Australia
#kaburajadulu",7122447160993760283
12/02/2025,"Lulus sekolah dan bekerja kumpul uang
otw AMERIKA🇺🇸🇺🇸🔥",6945429095560610818
12/02/2025,"#kaburajadulu
keluar provinsi doang😹",6822305980031681538
14/02/2025,top komen💀,7376977343262983185
15/02/2025,@ndipipaaaa,7158304952107222018
12/02/2025,enak mah ngomong,7447542801056793608
12/02/2025,"yaa itu, klo kontrak habis trus duit gk cukup buat tiket pesawat gimana?, gk bisa pulang, itu yg gw maksud",6958565940159235073
12/02/2025,"Yaiyalah kalo masih ada kontrak gabisa pulang, bukan ga bisa tapi belum deh. Yakalii weh 😭 kerja belum kelar main kabur2 aja",6611187488383074305
11/02/2025,korban tiktok😂,7102972806988121090
11/02/2025,"gk semudah itu bro, dan sebelum berangkat, seharusnya luh dh belajar biaya diluar sana tuh gimana, gaji ny emng besar besar, biaya hidup juga, kk ipar gw aj kerja di jepang gk bisa pulang klo gk dibayarin bos ny tiket pesawat buat pulang",6958565940159235073
11/02/2025,lolot😂,6861014830384579586
11/02/2025,giliran kena di kamboja minta tolong presiden,7175714187283317786
11/02/2025,wkwk cil,7407320349585327110
11/02/2025,awokwok cil cil,6957220817143497733
13/02/2025,"menyelamatkan diri dari apa,,,",7376549017892930566
13/02/2025,"untuk kebutuhan hidup,kau lihat lah lowongan kerja di Indonesia! sedikit bet",7176983701209220098
