created_at,full_text,id_str,lang
Thu Sep 25 23:57:07 +0000 2025,@hrdbacot Long termnya ya #kaburajadulu tentu aja concernnya lebih ke anak sih. Temen ada yg awalnya kerja di Norway tapi terus dibawa keluarganya. Dengan penghasilannya di situ udah enak banget lah untuk hidup di Indo. Tapi concernnya pendidikan &amp; kesempatan yg lebih luas untuk anaknya.,1971363365755945091,in
Thu Sep 25 23:50:49 +0000 2025,@hrdbacot Udah masuk range itu tapi so far belum ada tekad bulat untuk #kaburajadulu sih tapi kalo ada kesempatan kerja di Middle East GoM Africa atau bahkan North Sea ya pasti diambil. Dapet penghasilan ekspat tapi tinggal di Indonesia sih yg dikejar dulu untuk short termnya.,1971361780044820944,in
Thu Sep 25 23:38:23 +0000 2025,@hrdbacot lohh justru orang dengan gaji &gt;35 juta malah makin mau #kaburajadulu ga sih min karena udah ada modal. yang ga mau antara daerah rumahnya nyaman karena keluarga atau pejabat pemerintah,1971358651953840250,in
Thu Sep 25 21:15:14 +0000 2025,Ga ada kepikiran #kaburajadulu krn sudah berkeluarga dan ortu masih ada. Plus disuruh jagain warisan keluarga. Di Sukabumi polusi sedikit transum mmg ga ok tapi suhu udaranya yg adem banyak pegunungan air terjun laut bikin ga mau geser kemanapun. Jam kerja flexible,1971322626082845119,in
Thu Sep 25 20:47:57 +0000 2025,@hrdbacot Tentunya selain kualitas hidup secara umum pendidikan dan lingkungan untuk anak tumbuh kembang jd faktor krusial buat saya dan istri memutuskan buat #kaburajadulu. ((Kayaknya kalo krn muak sama pemerintah gausah disebut jg dah pd tau lah ya)),1971315760002933211,in
Thu Sep 25 16:36:04 +0000 2025,yang di publish mah happy nya ajaa emang ada yang tauu pas keluargaku kepuruk gimnaa yang masku tbtb harusss #kaburajadulu hahahaha demiii semuanya stabil?,1971252374246457715,in
Thu Sep 25 15:17:40 +0000 2025,@hrdbacot refrensi negara yang #kaburajadulu selain jadi tukang metik apel dan ngerawat lansia maupun kerja-kerja IT an?,1971232642663326040,in
Thu Sep 25 14:44:13 +0000 2025,Baru relate sama hastag ini #kaburajadulu Buat apa tanah air beta kalau lu kerja aja ga dihargai dengan layak,1971224224833601964,in
Thu Sep 25 14:37:29 +0000 2025,@hrdbacot Sekarang lagi proses menuju #kaburajadulu kebetulan kerja di worldwide company. Skrg usaha untuk bangun portofolio sama banyakin koneksi. Target 2-3 tahun lagi pindah ke Head office. Company besar ketika masuk ke indo gajinya ga ikut besar karena base minimum kita kecil bgt,1971222531861549351,in
Thu Sep 25 13:07:57 +0000 2025,@reynaa KARUYAAA SEMANGAT #Kaburajadulu semoga lancar dipermudah semuanyaaa wml juga hihiw,1971199999833968973,in
Thu Sep 25 13:07:29 +0000 2025,@kasanaruphrase @HOKUTOBOO36 Takut banget di reply beneran terus ngajak kawin #KaburAjaDulu,1971199882498310160,in
Thu Sep 25 13:02:50 +0000 2025,buat yang bertanya bagaimana kehidupanku setelah resign aku sibuk mempersiapkan ini guys doain lolos yah biar bisa #kaburajadulu :3 anyway jgn lupa nonton like n suskrep n komen sangkyu!!!! https://t.co/ucGfx2E7LB https://t.co/oSD7TV8lzN,1971198710437830753,in
Thu Sep 25 12:54:27 +0000 2025,@rihakri gas lah udh muak dgn negara ini #KaburAjaDulu,1971196602233831787,in
Thu Sep 25 12:35:17 +0000 2025,@hrdbacot Dari tahun lalu udah pengen #kaburajadulu Tapi setelah coba jalan-jalan ke LN tahun ini jadi memutuskan ga jadi. Diri ini tersadar bahwa yang dibenci itu bukan negaranya tapi sistem yang rusak :(,1971191779526574291,in
Thu Sep 25 12:28:08 +0000 2025,Dulu mau #kaburajadulu jaman miskin 2018 masi mahasiswa penghasilan ngajar private anak SD ya around 2 - 4 juta Dulu pengen bgt WHV Aussie HAHA Alleb PERSONALLY ketika lg pengen #kaburajadulu tandanya w lg di lowest low point alias merasa tidak competitive di Indonesia,1971189976743411874,in
Thu Sep 25 12:17:18 +0000 2025,@hwangppil Emang bener #kaburajadulu WKWK kmrn tu ya sbnrnya w mau apply enha TP TELAT SEHARI TP JUGA W UDH BAYAR WEVERSE WKWKWKWKKW,1971187254174548445,in
Thu Sep 25 12:04:40 +0000 2025,Yang mau #kaburajadulu yuk barengan..,1971184072044183896,in
Thu Sep 25 11:35:08 +0000 2025,@BivitriS @barengwarga Udah kga ketolong ini negara. Dikritik digaslek antek asing turun aksi ditangkep tangkepin bnyak yg luka2 dll ngubah dari dalem ga mungkin yg ada malah ... Jalan satu2nya bisa nikmatin hidup dengan tenang memang cuman #KaburAjaDulu.,1971176639708225550,in
Thu Sep 25 11:33:37 +0000 2025,@hrdbacot Mungkin penghasilan &gt;35-100 juta di Indonesia itu bisa didapatkan dalam jangka waktu satu tahun; bahkan lebih. Sedangkan yang #KaburAjaDulu suka percepatan.,1971176259435827648,in
Thu Sep 25 11:13:23 +0000 2025,@hrdbacot Baru denger pidato Trump. Takut ah #kaburajadulu. Udah capek2 nabung dan investasi diluar negeri tiba2 rumah gw dibakar penduduk radikal yg rasis. Plus minus lebih enak tinggal di Indonesia. Dinegara sendiri.,1971171166648930405,in
Thu Sep 25 10:55:07 +0000 2025,@hrdbacot Di indo royal ke temen n ngutangin sodara 60-70% dr penghasilan klo #kaburajadulu org ga ngurusin idup org laen punya bayi punya lansia dapet tunjangan dr negara,1971166569746375144,in
Thu Sep 25 10:46:34 +0000 2025,Teman-teman yang udah berhasil #kaburajadulu mau tanya deh waktu di Indonesia yang penghasilannya udah &gt;35-100juta tapi kenapa tetap mau #kaburajadulu?,1971164420605870121,in
Thu Sep 25 10:03:33 +0000 2025,@chocoabitter Amakura Shina #kaburajadulu tapi ga kabur-kabur,1971153592393531754,in
Thu Sep 25 10:00:00 +0000 2025,[ADS] Buat yang tertarik bisa follow @les_kopula dulu biar gak ketinggalan info! Share juga biar temen kalian yang butuh untuk #KaburAjaDulu bisa ikut #BeasiswaKopula ini ya!,1971152700793553015,in
Thu Sep 25 08:45:00 +0000 2025,@kegblgnunfaedh #kaburajadulu ke jepang Australia malaysia Singapura dll indonesia lagi sulit,1971133825729405306,in
Thu Sep 25 08:40:52 +0000 2025,Memulai hari pertama #kaburajadulu https://t.co/vJvNmuccUx,1971132785818730574,in
