Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,
,PDRB Triwulanan Atas Dasar Harga Konstan (2010=100) Menurut Lapangan Usaha di Kabupaten/Kota Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,
,Sektor Primer,,,,,Sektor Sekunder,,,,,Sektor Tersier,,,,,PDRB,,,,
,2025,,,,,2025,,,,,2025,,,,,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Nias Barat,219.24,220.66,221.85,-,-,32.43,32.38,32.47,-,-,110.62,109.61,110.38,-,-,362.3,362.64,364.7,-,-
Kota Sibolga,182.96,187.1,182.13,-,-,166.15,164.07,166.42,-,-,685.39,701.16,708.33,-,-,1034.5,1052.34,1056.88,-,-
Kota Tanjung Balai,283.18,286.88,287.92,-,-,604.19,605.62,617.86,-,-,844.97,855.08,856.78,-,-,1732.35,1747.57,1762.56,-,-
Kota Pematang Siantar,43.39,43.46,43.68,-,-,737.19,747.91,749.3,-,-,1968.59,1992.22,2004.94,-,-,2749.16,2783.59,2797.93,-,-
Kota Tebing Tinggi,17.66,17.55,18.01,-,-,284.22,286.95,290.95,-,-,833.72,847.88,854.18,-,-,1135.59,1152.38,1163.14,-,-
Kota Medan,364.92,378.72,380.74,-,-,14527.04,14863.68,15271.29,-,-,31062.5,32572.14,33155.62,-,-,45954.45,47814.54,48807.65,-,-
Kota Binjai,134.4,136.3,135.55,-,-,492.02,503.57,520.91,-,-,1732.59,1791.4,1815.94,-,-,2359.02,2431.27,2472.39,-,-
Kota Padangsidimpuan,155.75,146.98,150.82,-,-,180.03,181.8,187.68,-,-,947.53,962.04,993.56,-,-,1283.31,1290.82,1332.06,-,-
Kota Gunungsitoli,161.8,162.76,163.44,-,-,188.34,190.02,190.21,-,-,644.89,653.04,657.58,-,-,995.02,1005.82,1011.22,-,-
Kepulauan Mentawai,423.18,431.4,431.95,-,-,140.1,142.28,151.86,-,-,304.54,310.3,301.21,-,-,867.82,883.97,885.02,-,-
Pesisir Selatan,1117.22,1083.45,1091.37,-,-,473.01,475.55,514.85,-,-,1238.18,1265.39,1240.69,-,-,2828.41,2824.4,2846.91,-,-
Solok,1209.07,1179.66,1161,-,-,388.91,391.91,427.78,-,-,1350.02,1397.08,1368.24,-,-,2948,2968.66,2957.01,-,-
Sijunjung,776.64,786.02,791.42,-,-,313.39,319.83,340.05,-,-,867.65,884.51,888.37,-,-,1957.68,1990.36,2019.84,-,-
Tanah Datar,919.98,857.42,857.41,-,-,581.37,588.91,612.95,-,-,1375.95,1439.65,1406.82,-,-,2877.3,2885.98,2877.19,-,-
Padang Pariaman,1061.86,1041.15,1029.4,-,-,807.48,805.33,861.12,-,-,1762.72,1858.31,1797.52,-,-,3632.06,3704.79,3688.04,-,-
Agam,1393.68,1371.22,1346.72,-,-,801.25,811.11,852.51,-,-,2140.31,2200.5,2187.61,-,-,4335.24,4382.82,4386.84,-,-
Lima Puluh Kota,1293.84,1281.31,1276.11,-,-,391.36,394.91,421.86,-,-,1624.07,1668.89,1643.76,-,-,3309.27,3345.11,3341.73,-,-
Pasaman,906.9,891.35,900.97,-,-,158.5,160.02,165.69,-,-,764.9,794.65,779.86,-,-,1830.3,1846.02,1846.53,-,-
Solok Selatan,424.66,426.08,431.75,-,-,184.67,188.25,200.12,-,-,559.9,572.11,564.98,-,-,1169.24,1186.44,1196.86,-,-
Dharmasraya,723.67,748.72,774.11,-,-,396.04,403.36,426.13,-,-,1080.85,1107.13,1090.49,-,-,2200.56,2259.2,2290.74,-,-
Pasaman Barat,1435.41,1478.6,1524.78,-,-,657.54,664.55,711.58,-,-,1234.95,1274.29,1239.05,-,-,3327.89,3417.43,3475.41,-,-
Kota Padang,957.93,995.21,945.99,-,-,2731.03,2756.8,2889.19,-,-,9421.16,9715.88,9513.45,-,-,13110.12,13467.89,13348.63,-,-
Kota Solok,46.46,45.62,44.2,-,-,138.68,142.14,149.71,-,-,673.01,690.77,679.8,-,-,858.16,878.54,873.7,-,-
Kota Sawah Lunto,99.92,98.93,95.67,-,-,188.45,188.2,203.82,-,-,520.53,538.7,529.31,-,-,808.9,825.83,828.8,-,-
Kota Padang Panjang,38.86,38.39,37.01,-,-,136.52,136.11,142.06,-,-,592.51,608.98,600.15,-,-,767.89,783.48,779.22,-,-
Kota Bukittinggi,19.71,19.5,18.29,-,-,232.36,233.97,234.24,-,-,1575.81,1628.5,1621.7,-,-,1827.88,1881.98,1874.23,-,-
Kota Payakumbuh,79.66,80.56,78.06,-,-,225.98,233.03,243.42,-,-,1025.7,1051.65,1033.98,-,-,1331.34,1365.24,1355.46,-,-
Kota Pariaman,191.1,194.13,189.54,-,-,225.35,228.43,240.75,-,-,651.52,663.91,657.13,-,-,1067.97,1086.46,1087.41,-,-
Kuantan Singingi,3617.37,3854.84,3850.97,-,-,2546.04,2757.83,2898.33,-,-,656.01,758.7,724.29,-,-,6819.42,7371.37,7473.6,-,-
Indragiri Hulu,3465.89,3477.67,3492.38,-,-,3812.05,3774.14,4311.23,-,-,1658.13,1701.4,1717.26,-,-,8936.06,8953.21,9520.86,-,-
Indragiri Hilir,6261.27,5796.62,6684.31,-,-,4361.79,4628.28,4810.11,-,-,2672.17,2869.88,2678.69,-,-,13295.23,13294.78,14173.1,-,-
Pelalawan,3967.96,3939.31,4222.91,-,-,5942.98,6058.87,6295.96,-,-,703.91,745.44,711.85,-,-,10614.85,10743.62,11230.73,-,-
Siak,6497,6485.99,6930.76,-,-,8334.44,8544.08,8849.36,-,-,981.95,1058.1,1012.9,-,-,15813.39,16088.16,16793.03,-,-
Kampar,8126.97,8033.88,8577.39,-,-,5755.72,5853.16,6299.06,-,-,1321.37,1381.04,1307.86,-,-,15204.05,15268.08,16184.3,-,-
Rokan Hulu,4327.66,4442.92,4718.23,-,-,2331.27,2461.42,2555.7,-,-,941.5,1056.2,1016.74,-,-,7600.43,7960.53,8290.66,-,-
Bengkalis,12751.97,12439.87,12822.91,-,-,4920.12,5241.04,5500.09,-,-,2334.92,2415.3,2486.17,-,-,20007.02,20096.22,20809.17,-,-
Rokan Hilir,8393.36,8407.97,8619,-,-,3170.3,3412.04,3546.83,-,-,1149.03,1228.62,1174.24,-,-,12712.7,13048.62,13340.06,-,-
Kepulauan Meranti,1869.11,1788.61,1885.33,-,-,1287.76,1266.5,1362.1,-,-,551.14,608.65,543.9,-,-,3708,3663.75,3791.34,-,-
Kota Pekanbaru,328.82,322.93,333.13,-,-,10887.32,10952.24,11496.34,-,-,10678.31,11500.94,10414.88,-,-,21894.46,22776.1,22244.35,-,-
Kota Dumai,409.44,387.94,385.23,-,-,5814.11,5532.82,5707.39,-,-,1892.79,2009.85,1847.29,-,-,8116.34,7930.61,7939.9,-,-
