Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,
,PDRB Triwulanan Atas Dasar Harga Konstan (2010=100) Menurut Lapangan Usaha di Kabupaten/Kota Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,
,Sektor Primer,,,,,Sektor Sekunder,,,,,Sektor Tersier,,,,,PDRB,,,,
,2025,,,,,2025,,,,,2025,,,,,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Kubu Raya,1043.27,980.27,997.85,-,-,2422.93,2530.83,2583,-,-,2124.01,2175.87,2173.4,-,-,5590.22,5686.97,5754.25,-,-
Kota Pontianak,98.81,100.08,95.69,-,-,2111.28,2238.38,2311.74,-,-,5007.95,5238.54,5315.59,-,-,7218.04,7577,7723.02,-,-
Kota Singkawang,333.92,313.99,316.96,-,-,604.01,598.64,594.41,-,-,1147.2,1172.07,1180.31,-,-,2085.13,2084.7,2091.68,-,-
Kotawaringin Barat,1103.77,1112.25,1088.88,-,-,1406.21,1447.92,1461.68,-,-,1616.84,1682.19,1685.36,-,-,4126.81,4242.36,4235.92,-,-
Kotawaringin Timur,1471.55,1409.37,1451.8,-,-,1503.32,1643.53,1674.45,-,-,2271.34,2386.89,2452.87,-,-,5246.22,5439.79,5579.12,-,-
Kapuas,1460.31,1413.82,1453.76,-,-,608.5,603.7,705.01,-,-,1312.16,1396.22,1346.84,-,-,3380.97,3413.74,3505.61,-,-
Barito Selatan,500.77,498.7,520.56,-,-,124.85,129.1,146.28,-,-,602.19,618.06,633.16,-,-,1227.8,1245.85,1300,-,-
Barito Utara,1177.5,1176.42,1155.97,-,-,256.15,262.98,217.16,-,-,649.95,656.16,685.37,-,-,2083.55,2093.86,2058.5,-,-
Sukamara,304.82,335.34,311.77,-,-,279.77,283.32,278.93,-,-,289.88,299.25,333.61,-,-,874.47,917.92,924.31,-,-
Lamandau,405.18,428.38,421.89,-,-,308.92,335.29,337.79,-,-,351.71,370.78,376.53,-,-,1065.81,1134.45,1136.2,-,-
Seruyan,656,666.67,637.66,-,-,666.81,694.32,716.84,-,-,357.9,388.31,382.54,-,-,1680.71,1749.3,1737.04,-,-
Katingan,465.39,455.88,463.5,-,-,392.56,429.84,443.58,-,-,608.15,641.93,661.83,-,-,1466.09,1527.65,1568.91,-,-
Pulang Pisau,370.25,360.69,391.79,-,-,233.65,255.7,267.83,-,-,407.2,438.34,428.27,-,-,1011.1,1054.73,1087.9,-,-
Gunung Mas,444.47,449.23,447.17,-,-,211.14,216.56,260.29,-,-,423.12,439.31,437.43,-,-,1078.74,1105.1,1144.88,-,-
Barito Timur,867.83,885.85,904.3,-,-,188.34,199.43,230.71,-,-,432.32,446.98,455.7,-,-,1488.5,1532.25,1590.71,-,-
Murung Raya,1169.66,1132.93,1145.81,-,-,135.35,149.4,177.95,-,-,430.32,468.27,469.69,-,-,1735.33,1750.6,1793.45,-,-
Kota Palangka Raya,116.75,120.99,105.36,-,-,581.26,640.51,703.26,-,-,2623.46,2696.59,2698.35,-,-,3321.47,3458.09,3506.98,-,-
Tanah Laut,1252.53,1427.79,1660.31,-,-,573.76,588.38,604.86,-,-,1121.33,1161.55,1164.99,-,-,2947.62,3177.72,3430.16,-,-
Kota Baru,2028.64,2213.06,2270.85,-,-,1907.92,1943.25,2017.43,-,-,1156.83,1212.6,1206.26,-,-,5093.39,5368.92,5494.54,-,-
Banjar,996.63,1068.57,1550.17,-,-,561.01,589.24,599.05,-,-,1730.91,1799.19,1819.72,-,-,3288.55,3457,3968.94,-,-
Barito Kuala,318.82,318.38,935.44,-,-,479.9,505.8,532.96,-,-,749.55,770.17,775.47,-,-,1548.26,1594.34,2243.87,-,-
Tapin,823,1187.73,1114.64,-,-,210.72,221.92,232.76,-,-,689.79,725.74,729.02,-,-,1723.51,2135.39,2076.42,-,-
Hulu Sungai Selatan,454.88,611.85,555.23,-,-,211.95,236.4,245.77,-,-,657.15,691.62,680.47,-,-,1323.98,1539.87,1481.47,-,-
Hulu Sungai Tengah,366.3,544.94,314.81,-,-,312.65,333.12,340.58,-,-,760.82,798.3,789.38,-,-,1439.77,1676.36,1444.78,-,-
Hulu Sungai Utara,132.79,140.03,193.66,-,-,196.41,203.55,206.92,-,-,623.03,646.48,659.68,-,-,952.22,990.07,1060.26,-,-
Tabalong,2426.41,2675.74,2611.31,-,-,601.17,624.11,649.8,-,-,1268.86,1313.94,1342.23,-,-,4296.44,4613.78,4603.34,-,-
Tanah Bumbu,2481.02,2669.99,2570.86,-,-,751.45,773.89,755.46,-,-,1427.52,1549.06,1519.67,-,-,4660,4992.95,4845.99,-,-
Balangan,1916.1,2326.12,2240.58,-,-,147.67,155.59,166.01,-,-,478.92,498.07,500.31,-,-,2542.68,2979.79,2906.9,-,-
Kota Banjarmasin,152.68,160.88,164.23,-,-,1783.8,1907.43,1985.03,-,-,4737.54,4904.24,5023.46,-,-,6674.02,6972.54,7172.73,-,-
Kota Banjar Baru,86.97,89.23,104.59,-,-,423.01,478.11,486.9,-,-,1452.48,1502.29,1500.28,-,-,1962.46,2069.62,2091.76,-,-
Paser,7943.21,7644.42,8350.19,-,-,726.06,755.48,852.95,-,-,1079.4,1112.65,1139.06,-,-,9748.67,9512.56,10342.2,-,-
Kutai Barat,4309.34,4275.47,4501.34,-,-,968.68,1009.65,1021.14,-,-,1268.8,1367.69,1370.81,-,-,6546.82,6652.81,6893.3,-,-
Kutai Kartanegara,27671.61,28228.08,27997.29,-,-,4220.78,4264.18,4356.5,-,-,4088.17,4241.38,4319.05,-,-,35980.56,36733.64,36672.85,-,-
Kutai Timur,25124.72,25329.62,25353.84,-,-,1647.68,1809.16,1649.34,-,-,1912.06,1997.8,1977.27,-,-,28684.46,29136.58,28980.45,-,-
Berau,5707.44,5887.75,6129.08,-,-,659.58,682.87,685.57,-,-,1852.99,1915.74,1949.9,-,-,8220.01,8486.36,8764.55,-,-
Penajam Paser Utara,837.88,848.58,831.66,-,-,1871.98,1916.99,1977.02,-,-,517.74,544.81,550.39,-,-,3227.6,3310.39,3359.07,-,-
Mahakam Ulu,390.77,394.27,395.36,-,-,40.78,43.13,47.04,-,-,60.49,63.45,61.69,-,-,492.04,500.85,504.09,-,-
Kota Balikpapan,215.62,219.69,215.32,-,-,17841.35,18537.11,18981.18,-,-,8400.7,8528.12,8398.3,-,-,26457.66,27284.92,27594.8,-,-
Kota Samarinda,1861.58,1878.18,1890.46,-,-,4068.66,4188.62,4380.56,-,-,8942.57,9208.62,9232.55,-,-,14872.81,15275.43,15503.57,-,-
Kota Bontang,169.61,165.43,167.56,-,-,8926.05,9379.46,9102.24,-,-,1454.15,1478.48,1494.46,-,-,10549.81,11023.37,10764.25,-,-
Malinau,1432.19,1438.74,1455.03,-,-,408.35,458.42,480.63,-,-,462.39,472.14,475.93,-,-,2302.92,2369.31,2411.59,-,-
Bulungan,1461,1412.61,1461.81,-,-,836.99,982.48,1016.72,-,-,1139.97,1162.25,1185.84,-,-,3437.97,3557.34,3664.37,-,-
Tana Tidung,660.08,678.89,664.54,-,-,219.91,237.38,247.92,-,-,212.27,203.29,223.4,-,-,1092.26,1119.56,1135.86,-,-
Nunukan,3080.6,3098.52,3188.93,-,-,716.9,746.07,784.5,-,-,871.29,916.26,925.48,-,-,4668.79,4760.85,4898.9,-,-
Kota Tarakan,1083.78,1094.42,1100.25,-,-,1754.9,1779.14,1813.72,-,-,4039.26,4183.67,4250.89,-,-,6877.94,7057.23,7164.86,-,-
Bolaang Mongondow,803.45,866.81,853.51,-,-,298.74,310.72,366.42,-,-,546.59,583.47,563.59,-,-,1648.79,1761,1783.52,-,-
Minahasa,1128.94,1194.38,1220,-,-,772.61,813.14,894.96,-,-,1619.71,1707.47,1646.86,-,-,3521.26,3714.99,3761.81,-,-
Kepulauan Sangihe,311.06,337.14,338.29,-,-,121.05,126.73,147.89,-,-,491.3,522.23,504.54,-,-,923.41,986.11,990.72,-,-
Kepulauan Talaud,205.88,227.2,227.01,-,-,62.34,65.53,76.79,-,-,204.66,218.05,207.37,-,-,472.87,510.78,511.17,-,-
Minahasa Selatan,754.74,794.77,815.51,-,-,493.63,518.68,561.31,-,-,597.97,636.1,603.59,-,-,1846.34,1949.55,1980.42,-,-
Minahasa Utara,1054.95,1102.41,1142.19,-,-,774.61,819.58,889.32,-,-,993.54,1034.15,1000.15,-,-,2823.09,2956.14,3031.66,-,-
Bolaang Mongondow Utara,276.33,291.63,299.57,-,-,90.7,97.27,110.9,-,-,135.23,142.94,137.72,-,-,502.25,531.84,548.19,-,-
Siau Tagulandang Biaro,186.07,196.39,201.38,-,-,45.44,46.91,55.96,-,-,251.19,260.18,253.99,-,-,482.7,503.47,511.32,-,-
Minahasa Tenggara,417.61,449.37,449.92,-,-,267.95,272.43,307.11,-,-,396.52,420.57,398.86,-,-,1082.08,1142.37,1155.9,-,-
Bolaang Mongondow Selatan,176.46,185.83,185.96,-,-,53.13,60.22,70.86,-,-,166.81,178.82,172.33,-,-,396.39,424.87,429.14,-,-
Bolaang Mongondow Timur,333.24,353.71,363.08,-,-,55.61,57.03,67.73,-,-,174.83,181.16,167.17,-,-,563.68,591.91,597.98,-,-
Kota Manado,137.37,139.9,140.35,-,-,1106.8,1153.04,1292.56,-,-,6293.03,6740.24,6697.44,-,-,7537.2,8033.18,8130.34,-,-
Kota Bitung,549.48,529.25,548.18,-,-,1675.6,1749.46,1745.5,-,-,1280.43,1373.43,1379.74,-,-,3505.51,3652.14,3673.41,-,-
Kota Tomohon,216.31,224.49,231.18,-,-,237.03,253.07,279.31,-,-,462.82,493.86,480.75,-,-,916.16,971.42,991.23,-,-
Kota Kotamobagu,67.94,74.19,77.4,-,-,118.14,126.94,147.23,-,-,530.68,559.45,541.88,-,-,716.76,760.59,766.5,-,-
Banggai Kepulauan,369.9,385.34,382.49,-,-,35.55,37.22,36.33,-,-,371.14,384.95,384.52,-,-,776.59,807.51,803.33,-,-
Banggai,2836.15,2793.57,2888.36,-,-,1442.5,1535.35,1535.62,-,-,1110.83,1142.37,1135.88,-,-,5389.48,5471.3,5559.86,-,-
Morowali,4695.91,4835.46,5365.99,-,-,18288.79,20412.55,22718.73,-,-,692.64,709.95,715.77,-,-,23677.34,25957.97,28800.49,-,-
Poso,729.61,769.57,738.74,-,-,196.09,198.45,200.53,-,-,906.06,947.67,941.25,-,-,1831.76,1915.7,1880.52,-,-
Donggala,1326.37,1424.84,1404.64,-,-,352.85,383.85,347.31,-,-,715.9,779.26,768.32,-,-,2395.12,2587.95,2520.28,-,-
Toli-Toli,694.07,715.41,703.93,-,-,212.11,214.16,220.39,-,-,707.24,743.35,728.68,-,-,1613.41,1672.92,1653.01,-,-
Buol,593.51,600.55,565.58,-,-,243.23,253.32,249.35,-,-,303.96,322.6,312.56,-,-,1140.7,1176.47,1127.49,-,-
Parigi Moutong,1622.81,1640.91,1584.91,-,-,466.91,483.78,474.16,-,-,1198.83,1238.12,1229.43,-,-,3288.56,3362.81,3288.49,-,-
Tojo Una-Una,405.42,443.53,448.24,-,-,150.53,156.93,167.57,-,-,500.56,520.23,512.17,-,-,1056.51,1120.69,1127.97,-,-
Sigi,883.09,883.51,875.57,-,-,247.82,251.35,263.19,-,-,671.53,707.78,702.36,-,-,1802.44,1842.64,1841.12,-,-
Banggai Laut,264.63,271.67,273.85,-,-,22.83,23.52,22.37,-,-,184.74,192.11,192.04,-,-,472.2,487.29,488.26,-,-
Morowali Utara,2484.52,2516.84,2711.94,-,-,2058.98,2181.65,2363.66,-,-,439.97,462.39,459.64,-,-,4983.47,5160.87,5535.24,-,-
Kota Palu,534.25,546.73,622.58,-,-,1048.65,1086.1,1072.12,-,-,3057.1,3282.07,3134.16,-,-,4640.01,4914.89,4828.86,-,-
Kepulauan Selayar,429.81,462.49,501.23,-,-,200.18,243.74,244.77,-,-,372.35,422.06,411.01,-,-,1002.34,1128.29,1157.01,-,-
Bulukumba,938.02,1040.11,1066.81,-,-,414.84,436.13,485.41,-,-,1120.67,1216.06,1275.33,-,-,2473.53,2692.3,2827.55,-,-
Bantaeng,482.46,537.38,547.42,-,-,579.45,618.62,586.88,-,-,833.77,841.58,875.18,-,-,1895.68,1997.59,2009.48,-,-
Jeneponto,806.09,1078.38,924.38,-,-,270.27,313,345.58,-,-,802.73,932.73,1085.21,-,-,1879.08,2324.11,2355.16,-,-
Takalar,984.88,988.16,1039.46,-,-,217.11,232.55,253.37,-,-,756.3,796.89,820.53,-,-,1958.29,2017.59,2113.37,-,-
Gowa,1199.43,1552.43,1469.09,-,-,788.8,792.83,798.84,-,-,2334.42,2503.42,2578.94,-,-,4322.65,4848.67,4846.86,-,-
Sinjai,969.1,1098.06,1178.04,-,-,262.83,287.51,314.85,-,-,939.83,1001.97,1023.44,-,-,2171.77,2387.54,2516.33,-,-
Maros,1052.13,1200.76,1251.5,-,-,899.39,898.18,1031.66,-,-,1563.48,1676.49,1678.69,-,-,3515,3775.43,3961.85,-,-
Pangkajene dan Kepulauan,1493.72,1613.34,1550.5,-,-,2505.22,2580.73,2635.66,-,-,1107.29,1164.37,1173.14,-,-,5106.23,5358.45,5359.3,-,-
Barru,547.61,633.17,614.99,-,-,277.23,286.98,332.46,-,-,591.74,628.25,638.96,-,-,1416.58,1548.4,1586.4,-,-
Bone,3700.35,3801.97,4029.16,-,-,1048.51,1173.58,1208.2,-,-,2191,2330.55,2416,-,-,6939.86,7306.1,7653.35,-,-
Soppeng,624.3,605.83,750.16,-,-,469.04,536.08,603.03,-,-,1028.15,1062.99,1105.12,-,-,2121.49,2204.9,2458.31,-,-
Wajo,1848.37,1654.34,1918.59,-,-,418.82,526.78,514.94,-,-,1545.77,1580.85,1704.01,-,-,3812.96,3761.98,4137.54,-,-
Sidenreng Rappang,914.15,857,986.36,-,-,737.05,809.35,781.93,-,-,931.88,1035.37,1019.15,-,-,2583.08,2701.72,2787.44,-,-
Pinrang,1433.64,2108.88,1674.52,-,-,525.02,639.46,667.86,-,-,1531.96,1599.3,1582.61,-,-,3490.61,4347.63,3924.99,-,-
Enrekang,570.47,584.44,589.81,-,-,276.73,301.43,322.69,-,-,488.29,524.35,514.08,-,-,1335.48,1410.23,1426.57,-,-
Luwu,1506.25,1634.36,1701.15,-,-,436.1,474.83,517.86,-,-,1152.85,1225.61,1290.77,-,-,3095.2,3334.81,3509.77,-,-
Tana Toraja,319.76,285.01,349.18,-,-,235.01,245.66,284.08,-,-,783.07,829.26,867.79,-,-,1337.83,1359.93,1501.05,-,-
Luwu Utara,1147.63,1286.11,1352.5,-,-,358.43,418.01,434.49,-,-,913.61,939.25,959.72,-,-,2419.67,2643.37,2746.7,-,-
Luwu Timur,3065.28,3458.93,3579.09,-,-,575.24,555.24,619.54,-,-,747.01,811.74,812.81,-,-,4387.52,4825.9,5011.43,-,-
Toraja Utara,264.88,248.34,275.39,-,-,284.7,326.53,330.31,-,-,963.37,1015.33,1051.2,-,-,1512.96,1590.2,1656.9,-,-
Kota Makasar,144.11,156.28,157.18,-,-,11613.65,12801.77,13404.39,-,-,24443.11,25882.71,26378.03,-,-,36200.88,38840.77,39939.6,-,-
Kota Parepare,98.52,101.81,102.17,-,-,213.63,243.84,252.6,-,-,1101.47,1203.54,1257.48,-,-,1413.61,1549.19,1612.24,-,-
Kota Palopo,233.44,268.64,265.48,-,-,221.89,262.14,325.54,-,-,1134.97,1189.42,1211.84,-,-,1590.3,1720.19,1802.87,-,-
Buton,422.96,428.42,436.51,-,-,62.99,67.6,75.48,-,-,297.66,305.65,324.58,-,-,783.61,801.67,836.57,-,-
Muna,519.44,529.07,523.88,-,-,212.82,233.29,270.98,-,-,728.66,739.86,765.42,-,-,1460.92,1502.22,1560.28,-,-
Konawe,701.1,750.96,667.58,-,-,2025.74,1976.22,2186.36,-,-,673.08,681.42,696.7,-,-,3399.93,3408.59,3550.64,-,-
Kolaka,3539.89,3644.59,3686.45,-,-,721.49,828.05,965.3,-,-,1169.6,1212.58,1210.69,-,-,5430.98,5685.23,5862.44,-,-
Konawe Selatan,1277.32,1347.36,1369.77,-,-,258.23,272.98,336.73,-,-,973.11,990.82,1005.69,-,-,2508.66,2611.17,2712.19,-,-
Bombana,804.41,836.69,858.71,-,-,183.26,168.05,229.29,-,-,390.91,390.47,408.42,-,-,1378.58,1395.21,1496.42,-,-
Wakatobi,375.56,373.46,375.49,-,-,153.68,159.64,208.12,-,-,368.85,391.36,401.09,-,-,898.09,924.46,984.7,-,-
Kolaka Utara,1078.54,1185.77,1198.66,-,-,242.64,257.43,310.93,-,-,456.8,451.57,482.71,-,-,1777.98,1894.77,1992.3,-,-
Buton Utara,296.79,303.64,295.43,-,-,114.81,118.6,141.21,-,-,236.71,240.81,247.83,-,-,648.3,663.04,684.47,-,-
Konawe Utara,542.01,551.45,550.83,-,-,98.17,106.49,126.47,-,-,218.01,218.6,218.23,-,-,858.19,876.54,895.53,-,-
Kolaka Timur,462.23,490.24,468.93,-,-,117.02,122.04,151.03,-,-,340.17,344.54,354.8,-,-,919.41,956.82,974.75,-,-
Konawe Kepulauan,197.04,214.25,217.07,-,-,22.89,23.77,24.06,-,-,81.96,83.07,84.28,-,-,301.88,321.09,325.41,-,-
Muna Barat,251.93,254.06,267.98,-,-,107.11,114.91,128.84,-,-,169.76,178.63,180.08,-,-,528.79,547.6,576.9,-,-
Buton Tengah,212.46,233.93,230.01,-,-,89.14,91.08,105.85,-,-,180.53,187.35,191.1,-,-,482.14,512.36,526.97,-,-
Buton Selatan,358.7,354.23,343.42,-,-,85.84,88.78,106.83,-,-,145.93,151.67,153.97,-,-,590.47,594.68,604.22,-,-
Kota Kendari,646.47,656.3,605.43,-,-,982.13,1122.61,1234.47,-,-,3157.8,3169.36,3317.8,-,-,4786.4,4948.27,5157.7,-,-
Kota Baubau,317.69,323.12,337.78,-,-,366.92,385.35,447.38,-,-,1175.2,1248.62,1300.75,-,-,1859.8,1957.08,2085.91,-,-
Boalemo,517.06,501.69,554.9,-,-,81.58,81.79,89.84,-,-,408.77,430.1,419.49,-,-,1007.41,1013.58,1064.23,-,-
Gorontalo,1069.28,1038.63,1122.82,-,-,482.69,524.89,501.52,-,-,1089,1117.93,1121.4,-,-,2640.97,2681.44,2745.74,-,-
Pohuwato,751.06,808.68,810.07,-,-,153.99,149.89,209.87,-,-,453.36,460.44,455.29,-,-,1358.4,1419.01,1475.23,-,-
Bone Bolango,314.15,313.18,331.35,-,-,160.34,160.7,184.07,-,-,445.78,467.27,460.31,-,-,920.27,941.15,975.73,-,-
Gorontalo Utara,350.44,351.26,362.02,-,-,78.47,78.61,94.37,-,-,250.04,262.58,262.15,-,-,678.95,692.44,718.54,-,-
Kota Gorontalo,84.82,91.05,80.74,-,-,332.98,350.18,366.34,-,-,1421.44,1458.77,1465.87,-,-,1839.24,1900,1912.95,-,-
Majene,379.77,411.35,415.65,-,-,125.87,145.12,139.94,-,-,503.5,494.61,502.95,-,-,1008.95,1051.08,1059.31,-,-
Polewali Mandar,1133.29,1133.95,1203.98,-,-,343.64,368.44,386.86,-,-,1242.26,1237.85,1258.89,-,-,2719.19,2740.24,2849.73,-,-
Mamasa,236.47,246.75,230.51,-,-,69.4,80.88,97.22,-,-,301.9,297.23,310.27,-,-,607.78,624.87,638,-,-
Mamuju,864.91,925.51,940.83,-,-,279.08,343.95,373.87,-,-,1211.6,1193.88,1226.73,-,-,2355.6,2463.33,2541.43,-,-
Mamuju Utara,805.04,961.33,939.43,-,-,781.58,883.62,844.58,-,-,419.86,428.38,429.69,-,-,2006.49,2273.33,2213.71,-,-
Mamuju Tengah,426.26,472.43,467.53,-,-,72.58,81.81,80.12,-,-,113.72,115.98,114.59,-,-,612.57,670.22,662.24,-,-
Maluku Tenggara Barat,117.44,116.65,119.27,-,-,86.59,96.28,96.98,-,-,305.21,310.04,315.37,-,-,509.24,522.96,531.62,-,-
Maluku Tenggara,196.06,191.16,202.48,-,-,68.16,75.01,76.89,-,-,335.52,343.77,346.3,-,-,599.74,609.94,625.67,-,-
Maluku Tengah,441.8,430.33,456.42,-,-,324.14,344.43,351.05,-,-,1002.09,1025.63,1037.68,-,-,1768.03,1800.39,1845.15,-,-
Buru,160.24,159.14,169.28,-,-,87.85,93.19,93.83,-,-,215.73,222.38,223.09,-,-,463.83,474.71,486.2,-,-
Kepulauan Aru,413.59,402.61,430.19,-,-,61.51,69.78,72.13,-,-,210.82,215.73,219.59,-,-,685.92,688.12,721.92,-,-
Seram Bagian Barat,224.87,217.49,240.87,-,-,92.36,94.81,103.02,-,-,283.3,288.79,290.21,-,-,600.53,601.09,634.09,-,-
Seram Bagian Timur,290.06,289.01,301.62,-,-,44.34,48.44,50.93,-,-,219.45,225.18,225.81,-,-,553.85,562.62,578.36,-,-
Maluku Barat Daya,144.5,144.44,179.29,-,-,186.62,107.07,204.09,-,-,138.74,141.46,140.76,-,-,469.86,392.96,524.14,-,-
Buru Selatan,107.66,105.61,112.41,-,-,29.98,31.89,32.66,-,-,132.49,135.55,136.93,-,-,270.13,273.05,282,-,-
Kota Ambon,145.38,140.56,143.12,-,-,279.4,299.08,305.77,-,-,2698.24,2745.59,2805.36,-,-,3123.01,3185.23,3254.24,-,-
Kota Tual,177.98,179.18,187.27,-,-,44.41,46.79,48.84,-,-,232.61,239.08,243.45,-,-,455,465.06,479.57,-,-
Halmahera Barat,162.35,162.68,165.3,-,-,42.1,42.4,43.39,-,-,233.2,241.81,240.09,-,-,437.64,446.89,448.78,-,-
Halmahera Tengah,2152.5,1999.19,1999.22,-,-,3865.26,4289.64,4630.86,-,-,259.75,269.18,243.82,-,-,6277.51,6558.01,6873.91,-,-
Kepulauan Sula,186.56,187.8,194.15,-,-,80.99,84.17,84.44,-,-,214.17,223.02,211.6,-,-,481.72,494.98,490.2,-,-
Halmahera Selatan,1243.66,1182.82,1284.22,-,-,2400.65,2468.3,2585.77,-,-,504.74,511.66,515.72,-,-,4149.05,4162.78,4385.7,-,-
Halmahera Utara,451.66,457.23,486.55,-,-,110.18,110.73,112.95,-,-,432.76,437,441.32,-,-,994.6,1004.95,1040.81,-,-
Halmahera Timur,580.34,1027.04,1002.05,-,-,80.17,81.31,83.01,-,-,253.05,249.62,252.04,-,-,913.55,1357.97,1337.1,-,-
Pulau Morotai,135.39,138.61,142.9,-,-,38.41,36.96,40.8,-,-,129.44,133.42,134.19,-,-,303.23,308.99,317.89,-,-
Pulau Taliabu,215.89,212.95,221.07,-,-,14.84,14.72,14.96,-,-,91.29,93.28,94.48,-,-,322.02,320.95,330.51,-,-
Kota Ternate,77.15,79.21,79.28,-,-,192.67,201.3,195.28,-,-,2035.02,2068.99,2017.09,-,-,2304.83,2349.5,2291.65,-,-
Kota Tidore Kepulauan,130.62,133.18,132.89,-,-,51.6,52.38,53.19,-,-,396.36,409.78,392.46,-,-,578.57,595.34,578.55,-,-
Fakfak,166,166.79,170.48,-,-,249.17,268.96,269.48,-,-,506.87,505.44,513.27,-,-,922.03,941.19,953.23,-,-
Kaimana,126.37,124.62,126.59,-,-,92,108.89,121.14,-,-,217.68,220.41,226.41,-,-,436.05,453.92,474.14,-,-
Teluk Wondama,78.82,79.56,80.02,-,-,48.67,50.48,56.79,-,-,136.98,146.54,139.9,-,-,264.48,276.58,276.71,-,-
Teluk Bintuni,3385.18,3359.52,3357.79,-,-,5797.16,5665.53,5758.34,-,-,239.03,240.91,242.56,-,-,9421.37,9265.95,9358.69,-,-
Manokwari,293.81,294.87,299.5,-,-,326.31,333.15,337.34,-,-,1170.39,1176.31,1185.83,-,-,1790.51,1804.34,1822.67,-,-
Manokwari Selatan,96.57,97.35,96.68,-,-,6.95,7.04,7.17,-,-,63.73,64.24,65.03,-,-,167.26,168.63,168.88,-,-
Pegunungan Arfak,10.45,10.46,10.43,-,-,13.37,13.38,13.79,-,-,33.22,33.25,33.36,-,-,57.03,57.09,57.58,-,-
Raja Ampat,514.73,495.63,467.4,-,-,73.23,72.41,75.75,-,-,167.69,166.8,163.44,-,-,755.65,734.84,706.58,-,-
Sorong,671.05,684.9,687.48,-,-,1421.69,1414.35,1422.1,-,-,362.79,371.26,369.02,-,-,2455.54,2470.5,2478.59,-,-
Sorong Selatan,98.06,98.72,99.99,-,-,92.43,94.15,97.46,-,-,178.28,182.5,188.75,-,-,368.77,375.38,386.2,-,-
Maybrat,36.07,36.73,37.3,-,-,19.37,19.86,20.42,-,-,74.02,76,75.16,-,-,129.46,132.6,132.89,-,-
Tambrauw,13.64,13.63,13.73,-,-,8.9,8.96,9.01,-,-,23.23,23.43,23.47,-,-,45.77,46.02,46.2,-,-
Kota Sorong,291,292.06,288.13,-,-,551.32,528.47,556,-,-,1825.64,1864.31,1878.51,-,-,2667.95,2684.84,2722.63,-,-
Jayapura,591.38,612.97,623.13,-,-,527.56,527.36,553.14,-,-,1715.98,1741.64,1768.77,-,-,2834.92,2881.97,2945.04,-,-
Kepulauan Yapen,183.46,189.16,190.44,-,-,86.78,86.59,89.27,-,-,535.05,552.19,553.95,-,-,805.29,827.95,833.66,-,-
Biak Numfor,239.56,243.59,242.45,-,-,91.2,91.26,92.32,-,-,605.33,618.53,621.82,-,-,936.09,953.38,956.59,-,-
Sarmi,152.74,155.79,156.97,-,-,111.76,110.94,114.01,-,-,256.63,261.36,261.63,-,-,521.13,528.09,532.61,-,-
Keerom,178.48,183.05,188.43,-,-,183.72,182.31,184.37,-,-,202.04,203.84,203.63,-,-,564.23,569.2,576.43,-,-
Waropen,111.68,116.79,119.44,-,-,118.8,118.82,121.39,-,-,167.94,169.71,172.78,-,-,398.42,405.31,413.62,-,-
Supiori,60.86,61.02,63.72,-,-,64.03,65.92,66.39,-,-,87.3,89.75,90,-,-,212.19,216.7,220.11,-,-
Mamberamo Raya,61.85,62.37,65,-,-,62.12,62.06,63.35,-,-,162.81,167.89,167.63,-,-,286.79,292.33,295.97,-,-
Kota Jayapura,384.87,396.34,397.29,-,-,1382.69,1383.08,1438.21,-,-,4742.06,4850.53,4911.9,-,-,6509.61,6629.95,6747.4,-,-
Merauke,795.37,788.79,818.13,-,-,647.76,675.9,692.11,-,-,1570.87,1601.36,1621.89,-,-,3014,3066.04,3132.13,-,-
Boven Digoel,228.14,237.26,242.41,-,-,403.96,412.43,425.44,-,-,228.58,232.03,237.65,-,-,860.68,881.72,905.5,-,-
Mappi,113.45,116.26,117.61,-,-,175.76,179.31,183.42,-,-,234.95,241.15,238.65,-,-,524.15,536.72,539.69,-,-
Asmat,88.5,89.39,88.01,-,-,164.02,165.66,167.51,-,-,212.51,212.25,211.89,-,-,465.03,467.3,467.41,-,-
Mimika,14435.42,17334.94,15815.13,-,-,487.15,518.57,543.08,-,-,1769.28,1797.03,1813.47,-,-,16691.86,19650.54,18171.68,-,-
Dogiyai,73.67,73.62,76.18,-,-,25.92,26.36,27.31,-,-,135.62,138.98,139.46,-,-,235.21,238.96,242.95,-,-
Deiyai,53.24,53.23,53.92,-,-,72.92,73.44,76.01,-,-,102.02,104.44,105.72,-,-,228.18,231.12,235.65,-,-
Nabire,772.51,785.97,800.24,-,-,337.22,350.44,362.43,-,-,977.65,1014.49,1030.81,-,-,2087.38,2150.89,2193.49,-,-
Paniai,413.64,411.45,411.34,-,-,233.98,239.08,248.31,-,-,191.79,197.08,198.56,-,-,839.41,847.62,858.22,-,-
Intan Jaya,49.41,49.47,50.01,-,-,72.15,72.58,74.03,-,-,83.92,86.06,86.61,-,-,205.48,208.11,210.65,-,-
